freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1,0000186E+006	2,7307825E+000	-2,2223587E-001
7,9433269E+005	2,7537475E+000	-2,4096468E-001
6,3095681E+005	2,7877703E+000	-2,6550725E-001
5,0120622E+005	2,8200932E+000	-2,8764775E-001
3,9810347E+005	2,8567369E+000	-3,1662819E-001
3,1622997E+005	2,8959043E+000	-3,4534124E-001
2,5118764E+005	2,9342241E+000	-3,7754226E-001
1,9954350E+005	2,9755487E+000	-4,1599005E-001
1,5848613E+005	3,0237241E+000	-4,6413016E-001
1,2590929E+005	3,0735402E+000	-5,1856917E-001
1,0000371E+005	3,1305094E+000	-5,8044952E-001
7,9433273E+004	3,1887703E+000	-6,5582615E-001
6,3093828E+004	3,2544539E+000	-7,4238151E-001
5,0122477E+004	3,3273375E+000	-8,5065156E-001
3,9814063E+004	3,4130399E+000	-9,7323352E-001
3,1621143E+004	3,5148234E+000	-1,1218252E+000
2,5116906E+004	3,6288497E+000	-1,2971832E+000
1,9948781E+004	3,7693114E+000	-1,5028665E+000
1,5847683E+004	3,9401786E+000	-1,7391726E+000
1,2590930E+004	4,1483741E+000	-2,0029554E+000
1,0002226E+004	4,4037466E+000	-2,3102973E+000
7,9439951E+003	4,7069578E+000	-2,6500614E+000
6,3077358E+003	5,0821533E+000	-3,0139577E+000
5,0116030E+003	5,5255237E+000	-3,4029143E+000
3,9812773E+003	6,0558915E+000	-3,8079476E+000
3,1630398E+003	6,6788344E+000	-4,2138958E+000
2,5124104E+003	7,4021626E+000	-4,6026931E+000
1,9956381E+003	8,2273417E+000	-4,9536448E+000
1,5844927E+003	9,1599903E+000	-5,2293859E+000
1,2587905E+003	1,0163069E+001	-5,3944488E+000
9,9968164E+002	1,1214451E+001	-5,4321384E+000
7,9423932E+002	1,2245786E+001	-5,3142014E+000
6,3100977E+002	1,3224597E+001	-5,0642743E+000
5,0112231E+002	1,4096577E+001	-4,7264538E+000
3,9808899E+002	1,4844384E+001	-4,3173361E+000
3,1631589E+002	1,5462892E+001	-3,9091558E+000
2,5120601E+002	1,5979323E+001	-3,4957190E+000
1,9955338E+002	1,6400877E+001	-3,1389580E+000
1,5852898E+002	1,6742418E+001	-2,8238978E+000
1,2592673E+002	1,7052549E+001	-2,5762489E+000
9,9968163E+001	1,7309275E+001	-2,3729329E+000
7,9415741E+001	1,7551176E+001	-2,2272625E+000
6,3082279E+001	1,7805176E+001	-2,1128552E+000
5,0112232E+001	1,8040070E+001	-2,0282438E+000
3,9808899E+001	1,8290752E+001	-1,9864599E+000
3,1629578E+001	1,8538239E+001	-1,9476913E+000
2,5120602E+001	1,8802317E+001	-1,9324919E+000
1,9955338E+001	1,9068113E+001	-1,9188693E+000
1,5846864E+001	1,9345535E+001	-1,9015356E+000
1,2587309E+001	1,9624958E+001	-1,9029808E+000
9,9968166E+000	1,9899122E+001	-1,8826268E+000
7,9395623E+000	2,0174778E+001	-1,8794671E+000
