freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
0,0000000E+000	0,0000000E+000	0,0000000E+000
